# DISTANCE:     AVE_GOFR:        ERROR:
     1.62875    0.678235  0.00431685
      1.6544    0.684093  0.00620087
     1.68005    0.708203  0.00569569
      1.7057    0.727894  0.00382391
     1.73135    0.745742  0.00306439
       1.757    0.784091  0.00460391
     1.78265      0.8223  0.00399613
      1.8083    0.862159  0.00418125
     1.83395    0.899985  0.00588426
      1.8596    0.939292  0.00327595
     1.88525    0.977607  0.00324581
      1.9109     1.01931  0.00481259
     1.93655     1.05716  0.00216893
      1.9622      1.1007   0.0047012
     1.98785     1.13374  0.00704218
      2.0135     1.16178   0.0046801
     2.03915     1.19191  0.00525182
      2.0648     1.20069  0.00563349
     2.09045     1.20878  0.00425452
      2.1161     1.21291  0.00634371
     2.14174     1.20123    0.003171
     2.16739     1.19055  0.00277379
     2.19304     1.16617  0.00159581
     2.21869     1.14112  0.00474593
     2.24434     1.12387  0.00426116
     2.26999     1.10265   0.0029202
     2.29564     1.06685  0.00405946
     2.32129     1.03651  0.00350959
     2.34694     1.01631  0.00252096
     2.37259    0.984589  0.00392546
     2.39824    0.963957  0.00264511
     2.42389    0.938852  0.00358971
     2.44954    0.928309  0.00304962
     2.47519    0.914418  0.00341955
     2.50084    0.905874  0.00345709
     2.52649    0.897536   0.0028533
     2.55214    0.891808  0.00337076
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  3.6473e-05 2.24012e-05
    0.910562  0.00124261 0.000174534
    0.936212   0.0251672  0.00123091
    0.961861    0.170249  0.00248066
    0.987511    0.585438  0.00197244
     1.01316     1.23023  0.00624878
     1.03881     1.88187  0.00666275
     1.06446       2.378  0.00793486
     1.09011     2.56218   0.0136194
     1.11576     2.52397  0.00829912
     1.14141     2.38439  0.00549294
     1.16706     2.17794  0.00480107
     1.19271     1.95647  0.00989654
     1.21836     1.74002  0.00633083
     1.24401     1.54763  0.00693442
     1.26966     1.37831  0.00829605
     1.29531     1.23373  0.00833794
     1.32096     1.11155   0.0103865
     1.34661     1.01803  0.00752744
     1.37226    0.943759  0.00688777
     1.39791    0.878155  0.00438673
     1.42355      0.8244  0.00432068
      1.4492    0.779764  0.00358881
     1.47485    0.742571  0.00604101
      1.5005    0.712471  0.00607547
     1.52615     0.69617   0.0042979
      1.5518    0.671552  0.00523896
     1.57745    0.675877  0.00956569
      1.6031    0.676474  0.00475821
     1.62875    0.678501   0.0037854
      1.6544    0.685698  0.00562973
     1.68005    0.710941   0.0056035
      1.7057    0.727925  0.00334605
     1.73135    0.746074  0.00269932
       1.757     0.78394  0.00403092
     1.78265    0.821806  0.00352711
      1.8083    0.861341   0.0037378
     1.83395    0.897958   0.0054869
      1.8596    0.935719  0.00440356
     1.88525    0.974992   0.0037483
      1.9109     1.01592  0.00527292
     1.93655     1.05455  0.00309379
      1.9622     1.09559  0.00630855
     1.98785      1.1297  0.00722525
      2.0135     1.15831  0.00522473
     2.03915      1.1903  0.00483538
      2.0648     1.19783  0.00560656
     2.09045     1.20949  0.00378052
      2.1161     1.21347  0.00557552
     2.14174     1.20193  0.00285132
     2.16739     1.19188  0.00272429
     2.19304     1.16798  0.00219826
     2.21869     1.14383  0.00486577
     2.24434     1.12453  0.00377938
     2.26999      1.1026  0.00255566
     2.29564     1.06545  0.00378636
     2.32129     1.03612  0.00309191
     2.34694      1.0173  0.00239322
