#step T mu sigma energy err_energy
194 0.000238424 0.799646 0.59908 -0.442182 0.000730254
195 0.000226503 0.82039 0.600946 -0.442432 0.00079363
196 0.000215177 0.82039 0.600946 -0.442031 0.000811187
197 0.000204419 0.82039 0.600946 -0.442048 0.000837104
198 0.000194198 0.784362 0.609102 -0.442866 0.000786719
199 0.000184488 0.784362 0.609102 -0.443298 0.000801631
200 0.000175263 0.784362 0.609102 -0.443889 0.000765746
201 0.0001665 0.784362 0.609102 -0.441669 0.000788152
202 0.000158175 0.784362 0.609102 -0.443052 0.000761035
203 0.000150266 0.784362 0.609102 -0.442186 0.000800031
204 0.000142753 0.784362 0.609102 -0.443218 0.000743044
205 0.000135615 0.784197 0.60678 -0.442797 0.000749321
206 0.000128835 0.784197 0.60678 -0.441139 0.000763734
207 0.000122393 0.784197 0.60678 -0.444592 0.000759374
208 0.000116273 0.813453 0.61276 -0.443003 0.000842073
209 0.00011046 0.797467 0.605601 -0.444811 0.000826383
210 0.000104937 0.797467 0.605601 -0.443511 0.000806693
211 9.96898e-05 0.813359 0.612469 -0.44317 0.000868156
212 9.47053e-05 0.807412 0.619049 -0.443455 0.000881652
213 8.997e-05 0.807412 0.619049 -0.442932 0.00086453
214 8.54715e-05 0.807412 0.619049 -0.445262 0.000847919
215 8.1198e-05 0.812199 0.615245 -0.444796 0.000786549
216 7.71381e-05 0.812199 0.615245 -0.443937 0.00081248
217 7.32812e-05 0.812199 0.615245 -0.443247 0.000867704
218 6.96171e-05 0.812199 0.615245 -0.442795 0.0008526
219 6.61362e-05 0.812199 0.615245 -0.442597 0.000867298
220 6.28294e-05 0.784966 0.606905 -0.444375 0.000728036
221 5.9688e-05 0.784966 0.606905 -0.443397 0.000738433
222 5.67036e-05 0.792527 0.607371 -0.44503 0.000747167
223 5.38684e-05 0.792527 0.607371 -0.443783 0.00078523
224 5.1175e-05 0.792527 0.607371 -0.445381 0.000751677
225 4.86162e-05 0.792527 0.607371 -0.444464 0.000799185
226 4.61854e-05 0.792527 0.607371 -0.444351 0.000759226
227 4.38761e-05 0.792527 0.607371 -0.445101 0.000787292
228 4.16823e-05 0.792527 0.607371 -0.442178 0.000774985
229 3.95982e-05 0.792527 0.607371 -0.443894 0.000803712
230 3.76183e-05 0.792527 0.607371 -0.443815 0.000805212
231 3.57374e-05 0.792527 0.607371 -0.44398 0.000751049
232 3.39505e-05 0.792527 0.607371 -0.443046 0.000736237
233 3.2253e-05 0.792527 0.607371 -0.444567 0.000824766
234 3.06403e-05 0.792527 0.607371 -0.443567 0.000804381
235 2.91083e-05 0.792527 0.607371 -0.442797 0.00080713
236 2.76529e-05 0.792527 0.607371 -0.445307 0.000765614
237 2.62703e-05 0.792527 0.607371 -0.443876 0.000839069
238 2.49568e-05 0.792527 0.607371 -0.444961 0.000728075
239 2.37089e-05 0.792527 0.607371 -0.444869 0.000780812
240 2.25235e-05 0.792527 0.607371 -0.443087 0.000789604
241 2.13973e-05 0.799153 0.617118 -0.444831 0.000827514
242 2.03274e-05 0.799153 0.617118 -0.445084 0.000789433
243 1.93111e-05 0.799153 0.617118 -0.444353 0.000877436
244 1.83455e-05 0.799153 0.617118 -0.444453 0.000740055
245 1.74282e-05 0.799153 0.617118 -0.443883 0.000830974
246 1.65568e-05 0.799153 0.617118 -0.441622 0.000876908
247 1.5729e-05 0.799153 0.617118 -0.443941 0.000851292
248 1.49425e-05 0.799153 0.617118 -0.444815 0.000815802
249 1.41954e-05 0.799153 0.617118 -0.445639 0.000770566
250 1.34856e-05 0.799153 0.617118 -0.444493 0.00089768
251 1.28114e-05 0.791824 0.622067 -0.444325 0.00078234
252 1.21708e-05 0.791824 0.622067 -0.443086 0.000853301
253 1.15622e-05 0.791824 0.622067 -0.44473 0.000827058
254 1.09841e-05 0.791824 0.622067 -0.445099 0.000782338
255 1.04349e-05 0.791824 0.622067 -0.444619 0.000815812
256 9.91318e-06 0.791824 0.622067 -0.444653 0.000798271
257 9.41752e-06 0.791824 0.622067 -0.444208 0.000798282
258 8.94664e-06 0.791824 0.622067 -0.443548 0.000765031
259 8.49931e-06 0.791824 0.622067 -0.443214 0.000808823
260 8.07435e-06 0.791824 0.622067 -0.445111 0.000806232
261 7.67063e-06 0.791824 0.622067 -0.443797 0.000833378
262 7.2871e-06 0.798344 0.614895 -0.445294 0.000794229
263 6.92274e-06 0.811517 0.61237 -0.445029 0.000848832
264 6.57661e-06 0.8212 0.607048 -0.442433 0.000800711
265 6.24778e-06 0.785694 0.603805 -0.443598 0.00074971
266 5.93539e-06 0.785694 0.603805 -0.442883 0.000770882
267 5.63862e-06 0.785694 0.603805 -0.44235 0.000774342
268 5.35669e-06 0.776215 0.603027 -0.442161 0.000709257
269 5.08885e-06 0.776215 0.603027 -0.440733 0.000776769
270 4.83441e-06 0.782802 0.600775 -0.441007 0.000773727
271 4.59269e-06 0.805614 0.601211 -0.442867 0.000824167
272 4.36305e-06 0.775225 0.604334 -0.441808 0.000751875
273 4.1449e-06 0.808959 0.606578 -0.443556 0.000798248
274 3.93766e-06 0.808959 0.606578 -0.443657 0.000802966
275 3.74077e-06 0.808959 0.606578 -0.443399 0.000793923
276 3.55374e-06 0.808959 0.606578 -0.444239 0.000776167
277 3.37605e-06 0.808959 0.606578 -0.442754 0.000841985
278 3.20725e-06 0.808959 0.606578 -0.444534 0.000829054
279 3.04688e-06 0.808959 0.606578 -0.443634 0.000806246
280 2.89454e-06 0.808959 0.606578 -0.442764 0.00084359
281 2.74981e-06 0.808959 0.606578 -0.444874 0.000847319
282 2.61232e-06 0.80107 0.606337 -0.444819 0.000776755
283 2.48171e-06 0.80107 0.606337 -0.444542 0.000771073
284 2.35762e-06 0.80107 0.606337 -0.442256 0.000822939
285 2.23974e-06 0.80107 0.606337 -0.44303 0.000837778
286 2.12775e-06 0.812435 0.616161 -0.443942 0.000875447
287 2.02136e-06 0.812435 0.616161 -0.443964 0.000900342
288 1.9203e-06 0.812435 0.616161 -0.443452 0.000812288
289 1.82428e-06 0.812435 0.616161 -0.443844 0.00081814
290 1.73307e-06 0.811491 0.613297 -0.444102 0.000845602
291 1.64641e-06 0.811491 0.613297 -0.445157 0.000822166
292 1.56409e-06 0.813559 0.610996 -0.445232 0.000789022
293 1.48589e-06 0.813559 0.610996 -0.441527 0.000851709
294 1.41159e-06 0.813559 0.610996 -0.444384 0.000810905
295 1.34101e-06 0.813559 0.610996 -0.444126 0.000845143
296 1.27396e-06 0.820948 0.612094 -0.44411 0.000818932
297 1.21027e-06 0.794484 0.614798 -0.444463 0.000785784
298 1.14975e-06 0.811411 0.608052 -0.444048 0.000837474
299 1.09226e-06 0.811411 0.608052 -0.442848 0.000853956
300 1.03765e-06 0.811411 0.608052 -0.443361 0.000856423
301 9.85769e-07 0.811411 0.608052 -0.443615 0.000823237
302 9.36481e-07 0.811411 0.608052 -0.44417 0.000808641
303 8.89657e-07 0.811411 0.608052 -0.443733 0.00080503
304 8.45174e-07 0.811411 0.608052 -0.442933 0.00082839
305 8.02915e-07 0.811411 0.608052 -0.443138 0.000842536
306 7.62769e-07 0.811411 0.608052 -0.443289 0.000851978
307 7.24631e-07 0.813063 0.614279 -0.44451 0.000848485
308 6.88399e-07 0.813063 0.614279 -0.444186 0.000877725
309 6.53979e-07 0.813063 0.614279 -0.443539 0.000899966
310 6.2128e-07 0.813063 0.614279 -0.442569 0.00091189
311 5.90216e-07 0.813063 0.614279 -0.445304 0.000780305
312 5.60706e-07 0.813063 0.614279 -0.443598 0.000873537
313 5.3267e-07 0.813063 0.614279 -0.443521 0.000887152
314 5.06037e-07 0.813063 0.614279 -0.444185 0.000837142
315 4.80735e-07 0.813063 0.614279 -0.442896 0.000859259
316 4.56698e-07 0.813063 0.614279 -0.444337 0.000846465
317 4.33863e-07 0.813063 0.614279 -0.444553 0.000841978
318 4.1217e-07 0.813063 0.614279 -0.44307 0.000854585
319 3.91562e-07 0.813063 0.614279 -0.44398 0.000859587
320 3.71984e-07 0.813063 0.614279 -0.444253 0.000857349
321 3.53384e-07 0.832096 0.614612 -0.442665 0.000925268
322 3.35715e-07 0.826039 0.604944 -0.442267 0.000843155
323 3.18929e-07 0.816493 0.59855 -0.441645 0.000821358
324 3.02983e-07 0.816493 0.59855 -0.441153 0.00089436
325 2.87834e-07 0.816493 0.59855 -0.44104 0.000862654
326 2.73442e-07 0.816493 0.59855 -0.440295 0.000845507
327 2.5977e-07 0.782155 0.608197 -0.443006 0.000781589
328 2.46781e-07 0.782155 0.608197 -0.443249 0.000738595
329 2.34442e-07 0.782155 0.608197 -0.442421 0.000757554
330 2.2272e-07 0.782155 0.608197 -0.442274 0.00076501
331 2.11584e-07 0.782155 0.608197 -0.442848 0.000741537
332 2.01005e-07 0.782155 0.608197 -0.442692 0.000779205
333 1.90955e-07 0.782261 0.60085 -0.442445 0.00079591
334 1.81407e-07 0.782261 0.60085 -0.44177 0.000798194
335 1.72337e-07 0.782261 0.60085 -0.440192 0.000721799
336 1.6372e-07 0.78049 0.6086 -0.442088 0.000724256
337 1.55534e-07 0.782088 0.615933 -0.442581 0.000830756
338 1.47757e-07 0.804973 0.625049 -0.445424 0.000804722
339 1.40369e-07 0.804973 0.625049 -0.442131 0.000975098
340 1.33351e-07 0.804973 0.625049 -0.443799 0.000860874
341 1.26683e-07 0.793566 0.621188 -0.444364 0.000829749
342 1.20349e-07 0.793566 0.621188 -0.445046 0.00075693
343 1.14332e-07 0.793566 0.621188 -0.442376 0.000842088
344 1.08615e-07 0.793566 0.621188 -0.445166 0.000794272
345 1.03184e-07 0.793566 0.621188 -0.444585 0.000818431
346 9.80251e-08 0.793566 0.621188 -0.442407 0.000849192
347 9.31239e-08 0.793566 0.621188 -0.443784 0.000821791
348 8.84677e-08 0.793566 0.621188 -0.443283 0.000837256
349 8.40443e-08 0.793566 0.621188 -0.444184 0.000841687
350 7.98421e-08 0.793566 0.621188 -0.444415 0.000850168
351 7.585e-08 0.793566 0.621188 -0.44496 0.000793787
352 7.20575e-08 0.793566 0.621188 -0.443896 0.000817683
353 6.84546e-08 0.793566 0.621188 -0.4435 0.000842726
354 6.50319e-08 0.793566 0.621188 -0.444299 0.000835393
355 6.17803e-08 0.793566 0.621188 -0.44289 0.00083458
356 5.86913e-08 0.793566 0.621188 -0.443758 0.000812964
357 5.57567e-08 0.793566 0.621188 -0.443357 0.000843172
358 5.29689e-08 0.793566 0.621188 -0.445198 0.00072576
359 5.03204e-08 0.793566 0.621188 -0.444686 0.000754756
360 4.78044e-08 0.793566 0.621188 -0.442454 0.000888962
361 4.54142e-08 0.793566 0.621188 -0.444123 0.000782051
362 4.31435e-08 0.793566 0.621188 -0.445118 0.000794659
363 4.09863e-08 0.793566 0.621188 -0.44419 0.000805517
364 3.8937e-08 0.793566 0.621188 -0.443772 0.000792819
365 3.69901e-08 0.793566 0.621188 -0.44255 0.000833141
366 3.51406e-08 0.793566 0.621188 -0.444419 0.000770088
367 3.33836e-08 0.793566 0.621188 -0.443578 0.000814724
368 3.17144e-08 0.804267 0.615501 -0.445308 0.000786315
369 3.01287e-08 0.804267 0.615501 -0.444793 0.00083546
370 2.86223e-08 0.804267 0.615501 -0.442938 0.000857003
371 2.71911e-08 0.804267 0.615501 -0.444741 0.000813536
372 2.58316e-08 0.819373 0.613053 -0.443534 0.000849093
373 2.454e-08 0.819373 0.613053 -0.442519 0.00086849
374 2.3313e-08 0.801662 0.616221 -0.443757 0.000796336
375 2.21474e-08 0.801662 0.616221 -0.44457 0.000835003
376 2.104e-08 0.801662 0.616221 -0.44267 0.000906321
377 1.9988e-08 0.801662 0.616221 -0.443741 0.000857633
378 1.89886e-08 0.798448 0.62439 -0.445298 0.000814728
379 1.80392e-08 0.798448 0.62439 -0.444067 0.000871738
380 1.71372e-08 0.798448 0.62439 -0.445172 0.000816022
381 1.62803e-08 0.798448 0.62439 -0.444348 0.000875839
382 1.54663e-08 0.798448 0.62439 -0.443645 0.00086857
383 1.4693e-08 0.798448 0.62439 -0.442725 0.000866313
384 1.39584e-08 0.798448 0.62439 -0.444998 0.000826176
385 1.32604e-08 0.798448 0.62439 -0.444135 0.000811762
386 1.25974e-08 0.798448 0.62439 -0.442255 0.000862981
387 1.19676e-08 0.798448 0.62439 -0.444876 0.000855926
388 1.13692e-08 0.798448 0.62439 -0.444586 0.000856324
389 1.08007e-08 0.798448 0.62439 -0.444741 0.00083181
390 1.02607e-08 0.798448 0.62439 -0.443695 0.000813169
