# BIN:     VELOCITY:     AVE_POFV:        ERROR:
# Block 1
     2.23627    0.455801    0.401541   0.0170753
      2.3905    0.411374    0.380586   0.0233903
     2.54473     0.37364    0.319345   0.0185396
     2.69895    0.255488    0.260293   0.0141791
     2.85318    0.144779     0.20274   0.0157002
      3.0074    0.120104    0.154486    0.017531
     3.16163    0.187766    0.103957   0.0109569
     3.31585   0.0643897   0.0789105   0.0100751
     3.47008   0.0655905   0.0460648  0.00640559
     3.62431   0.0542735   0.0377224  0.00641798
     3.77853   0.0579958   0.0349388  0.00650252
     3.93276   0.0116472     0.02068  0.00490017
     4.08698   0.0270467   0.0179674  0.00345181
     4.24121           0  0.00706254  0.00231753
     4.39544           0    0.003987  0.00179801
     4.54966           0  0.00520685  0.00270398


# Block 12
   0.0771129  0.00189117   0.0016235 0.000532041
    0.231339  0.00642396   0.0173432  0.00292824
    0.385565   0.0991512   0.0716042  0.00926541
     0.53979   0.0994814      0.1016  0.00858932
    0.694016     0.17843    0.188426   0.0156411
    0.848242    0.260531    0.270089    0.016466
     1.00247    0.293461    0.351887   0.0171188
     1.15669    0.384957    0.427771   0.0183844
     1.31092    0.460184     0.44664   0.0150008
     1.46515    0.514157    0.496526   0.0320413
     1.61937    0.554232    0.548706   0.0298481
      1.7736    0.493354    0.549169    0.021442
     1.92782    0.472972    0.496061   0.0143799
     2.08205     0.53553    0.433375   0.0181893
     2.23627    0.500829    0.409815   0.0175428
      2.3905    0.382106    0.380712   0.0214414
     2.54473    0.241709    0.312875   0.0180883
     2.69895    0.253987    0.259768   0.0130072
     2.85318    0.147361    0.198125   0.0150548
      3.0074    0.122716    0.151839   0.0162687
     3.16163    0.170475      0.1095   0.0113598
     3.31585    0.108397   0.0813677  0.00953045
     3.47008   0.0787085   0.0487851   0.0064235
     3.62431   0.0404349   0.0379484  0.00588712
     3.77853   0.0646299   0.0374131  0.00641412
     3.93276   0.0124577   0.0199948  0.00453948
     4.08698  0.00120074   0.0165702  0.00343532
     4.24121 0.000510315  0.00651652  0.00218778
     4.39544 0.000570352  0.00370228  0.00167056
     4.54966 0.000930574  0.00485049  0.00250202


# Block 13
   0.0771129   0.0043827  0.00183575 0.000531767
    0.231339  0.00894552   0.0166972  0.00277333
    0.385565     0.16144   0.0785146   0.0108272
     0.53979    0.189027    0.108325   0.0102279
    0.694016    0.232884    0.191846   0.0148071
    0.848242    0.289318    0.271568   0.0152657
     1.00247    0.360492    0.352549   0.0158147
     1.15669      0.5678    0.438543   0.0198768
     1.31092    0.375111    0.441138   0.0148216
     1.46515    0.306279    0.481892   0.0327485
     1.61937    0.395194    0.536897   0.0297966
      1.7736    0.506412     0.54588   0.0200433
     1.92782      0.4214    0.490318   0.0143749
     2.08205    0.411134    0.431664   0.0168704
     2.23627    0.500199    0.416768    0.017517
      2.3905    0.380335    0.380683   0.0197921
     2.54473    0.303697    0.312169   0.0167106
     2.69895    0.240538    0.258289   0.0120905
     2.85318    0.278782    0.204329   0.0151213
      3.0074    0.165102    0.152859   0.0150492
     3.16163    0.112569    0.109736   0.0104884
     3.31585   0.0815303   0.0813802  0.00879735
     3.47008   0.0313994   0.0474477  0.00606701
     3.62431   0.0456281   0.0385392  0.00546383
     3.77853   0.0278572    0.036678   0.0059627
     3.93276   0.0179511   0.0198376  0.00419301
     4.08698   0.0296283   0.0175747  0.00331467
     4.24121   0.0159999  0.00724601  0.00213765
     4.39544   0.0187916    0.004863  0.00190304
     4.54966  0.00417257  0.00479834   0.0023101


# Block 14
   0.0771129  0.00585361  0.00212274 0.000565953
    0.231339   0.0198723    0.016924  0.00258449
    0.385565    0.115932   0.0811872   0.0103785
     0.53979    0.128239    0.109748  0.00959578
    0.694016    0.199083    0.192363   0.0137585
    0.848242    0.284756     0.27251   0.0142043
     1.00247    0.352447    0.352542   0.0146851
     1.15669    0.569661    0.447908   0.0205453
     1.31092    0.420049    0.439632   0.0138393
     1.46515    0.494105    0.482764   0.0304209
     1.61937    0.487681    0.533382   0.0278749
      1.7736     0.55114    0.546255   0.0186152
     1.92782    0.341491    0.479687   0.0168259
     2.08205    0.301716    0.422382    0.018039
     2.23627     0.48684    0.421773   0.0169658
      2.3905    0.270587    0.372819   0.0198794
     2.54473    0.292981    0.310799   0.0155731
     2.69895    0.272478    0.259302   0.0112693
     2.85318    0.281364    0.209832    0.015009
      3.0074    0.247653     0.15963   0.0154225
     3.16163    0.186295    0.115205   0.0110734
     3.31585    0.017891   0.0768453  0.00926438
     3.47008   0.0293581   0.0461556   0.0057696
     3.62431   0.0167203   0.0369807  0.00529116
     3.77853   0.0136284   0.0350316  0.00575961
     3.93276  0.00318196   0.0186479  0.00405878
     4.08698   0.0223038   0.0179125  0.00309507
     4.24121   0.0089155  0.00736526  0.00198829
     4.39544    0.051962  0.00822722  0.00369218
     4.54966  0.00981605  0.00515675  0.00217272


# Block 15
   0.0771129 0.000750463  0.00203125 0.000535566
    0.231339   0.0133883   0.0166883  0.00242292
    0.385565   0.0675417   0.0802775  0.00972637
     0.53979    0.142588    0.111937  0.00920243
    0.694016    0.261041    0.196941   0.0135817
    0.848242    0.254677    0.271321    0.013307
     1.00247    0.348065    0.352243   0.0137091
     1.15669    0.446766    0.447832   0.0191758
     1.31092    0.533699    0.445903    0.014267
     1.46515     0.45331    0.480801   0.0284562
     1.61937    0.510585    0.531862   0.0260579
      1.7736    0.497137    0.542981   0.0176598
     1.92782    0.485249    0.480058   0.0157082
     2.08205    0.527996    0.429423   0.0181585
     2.23627    0.432417    0.422483   0.0158496
      2.3905    0.329243    0.369914   0.0187652
     2.54473     0.19386    0.303003   0.0163704
     2.69895     0.16282     0.25287   0.0122165
     2.85318    0.167834    0.207032   0.0142671
      3.0074    0.223818    0.163909   0.0149762
     3.16163    0.108847    0.114781   0.0103433
     3.31585   0.0606974   0.0757687  0.00870907
     3.47008   0.0790087   0.0483458  0.00578576
     3.62431   0.0565549   0.0382856  0.00509679
     3.77853   0.0303787   0.0347214  0.00538398
     3.93276   0.0217334   0.0188536   0.0037934
     4.08698   0.0027617   0.0169024  0.00304909
     4.24121  0.00336207  0.00709838  0.00187356
     4.39544   0.0574554   0.0115091  0.00468272
     4.54966  0.00993613  0.00547538   0.0020511


# Block 16
   0.0771129  0.00558344  0.00225326 0.000546174
    0.231339   0.0304688   0.0175496  0.00241973
    0.385565   0.0837216   0.0804928  0.00912085
     0.53979    0.139646    0.113669  0.00878872
    0.694016    0.251975    0.200381   0.0131612
    0.848242    0.244501    0.269645   0.0125805
     1.00247     0.35692    0.352536   0.0128554
     1.15669    0.414826    0.445769   0.0180879
     1.31092    0.445505    0.445878   0.0133753
     1.46515    0.436229    0.478015   0.0268137
     1.61937    0.524063    0.531375   0.0244339
      1.7736    0.515178    0.541243   0.0166414
     1.92782    0.552161    0.484564   0.0153593
     2.08205    0.444064    0.430338   0.0170467
     2.23627    0.501309    0.427409   0.0156059
      2.3905    0.316545    0.366579   0.0178863
     2.54473    0.254617    0.299979    0.015624
